id|serviceArea|serviceAreaDisplayName|urls/0|urls/1|ips/0|ips/1|ips/2|ips/3|ips/4|ips/5|ips/6|ips/7|ips/8|ips/9|ips/10|ips/11|ips/12|ips/13|ips/14|ips/15|ips/16|ips/17|ips/18|ips/19|ips/20|ips/21|ips/22|ips/23|ips/24|ips/25|ips/26|ips/27|tcpPorts|expressRoute|category|required|urls/2|notes|udpPorts|urls/3|urls/4|ips/28|ips/29|ips/30|ips/31|ips/32|ips/33|ips/34|ips/35|ips/36|ips/37|urls/5|urls/6|urls/7|urls/8|urls/9|urls/10|urls/11|urls/12|urls/13|urls/14|urls/15|urls/16|urls/17|urls/18|urls/19|urls/20|urls/21|urls/22|urls/23|urls/24|urls/25
1|Exchange|Exchange Online|outlook.office.com|outlook.office365.com|13.107.6.152/31|13.107.18.10/31|13.107.128.0/22|23.103.160.0/20|40.96.0.0/13|40.104.0.0/15|52.96.0.0/14|131.253.33.215/32|132.245.0.0/16|150.171.32.0/22|204.79.197.215/32|2603:1006::/40|2603:1016::/36|2603:1026::/36|2603:1036::/36|2603:1046::/36|2603:1056::/36|2620:1ec:4::152/128|2620:1ec:4::153/128|2620:1ec:c::10/128|2620:1ec:c::11/128|2620:1ec:d::10/128|2620:1ec:d::11/128|2620:1ec:8f0::/46|2620:1ec:900::/46|2620:1ec:a92::152/128|2620:1ec:a92::153/128|2a01:111:f400::/48|80,443|true|Optimize|true||||||||||||||||||||||||||||||||||||
2|Exchange|Exchange Online|smtp.office365.com||13.107.6.152/31|13.107.18.10/31|13.107.128.0/22|23.103.160.0/20|40.96.0.0/13|40.104.0.0/15|52.96.0.0/14|131.253.33.215/32|132.245.0.0/16|150.171.32.0/22|204.79.197.215/32|2603:1006::/40|2603:1016::/36|2603:1026::/36|2603:1036::/36|2603:1046::/36|2603:1056::/36|2620:1ec:4::152/128|2620:1ec:4::153/128|2620:1ec:c::10/128|2620:1ec:c::11/128|2620:1ec:d::10/128|2620:1ec:d::11/128|2620:1ec:8f0::/46|2620:1ec:900::/46|2620:1ec:a92::152/128|2620:1ec:a92::153/128|2a01:111:f400::/48|587|true|Allow|true||||||||||||||||||||||||||||||||||||
3|Exchange|Exchange Online|r1.res.office365.com|r3.res.office365.com|||||||||||||||||||||||||||||80,443|false|Default|true|r4.res.office365.com|||||||||||||||||||||||||||||||||||
5|Exchange|Exchange Online|*.outlook.office.com|outlook.office365.com|13.107.6.152/31|13.107.18.10/31|13.107.128.0/22|23.103.160.0/20|40.96.0.0/13|40.104.0.0/15|52.96.0.0/14|131.253.33.215/32|132.245.0.0/16|150.171.32.0/22|204.79.197.215/32|2603:1006::/40|2603:1016::/36|2603:1026::/36|2603:1036::/36|2603:1046::/36|2603:1056::/36|2620:1ec:4::152/128|2620:1ec:4::153/128|2620:1ec:c::10/128|2620:1ec:c::11/128|2620:1ec:d::10/128|2620:1ec:d::11/128|2620:1ec:8f0::/46|2620:1ec:900::/46|2620:1ec:a92::152/128|2620:1ec:a92::153/128|2a01:111:f400::/48|143,993|true|Allow|false||Exchange Online IMAP4 migration||||||||||||||||||||||||||||||||||
6|Exchange|Exchange Online|*.outlook.office.com|outlook.office365.com|13.107.6.152/31|13.107.18.10/31|13.107.128.0/22|23.103.160.0/20|40.96.0.0/13|40.104.0.0/15|52.96.0.0/14|131.253.33.215/32|132.245.0.0/16|150.171.32.0/22|204.79.197.215/32|2603:1006::/40|2603:1016::/36|2603:1026::/36|2603:1036::/36|2603:1046::/36|2603:1056::/36|2620:1ec:4::152/128|2620:1ec:4::153/128|2620:1ec:c::10/128|2620:1ec:c::11/128|2620:1ec:d::10/128|2620:1ec:d::11/128|2620:1ec:8f0::/46|2620:1ec:900::/46|2620:1ec:a92::152/128|2620:1ec:a92::153/128|2a01:111:f400::/48|995|true|Allow|false||Exchange Online POP3 migration||||||||||||||||||||||||||||||||||
8|Exchange|Exchange Online|*.outlook.com|attachments.office.net|||||||||||||||||||||||||||||80,443|false|Default|true||||||||||||||||||||||||||||||||||||
9|Exchange|Exchange Online|*.protection.outlook.com||40.92.0.0/15|40.107.0.0/16|52.100.0.0/14|52.238.78.88/32|104.47.0.0/17|2a01:111:f403::/48|||||||||||||||||||||||443|true|Allow|true||||||||||||||||||||||||||||||||||||
10|Exchange|Exchange Online|*.mail.protection.outlook.com||40.92.0.0/15|40.107.0.0/16|52.100.0.0/14|104.47.0.0/17|2a01:111:f400::/48|2a01:111:f403::/48|||||||||||||||||||||||25|true|Allow|true||||||||||||||||||||||||||||||||||||
11|Skype|Skype for Business Online and Microsoft Teams|||13.107.64.0/18|52.112.0.0/14|52.120.0.0/14|||||||||||||||||||||||||||true|Optimize|true|||3478,3479,3480,3481|||||||||||||||||||||||||||||||||
12|Skype|Skype for Business Online and Microsoft Teams|*.lync.com|*.teams.microsoft.com|13.107.64.0/18|52.112.0.0/14|52.120.0.0/14|52.238.119.141/32|52.244.160.207/32|2603:1027::/48|2603:1037::/48|2603:1047::/48|2603:1057::/48|2620:1ec:6::/48|2620:1ec:40::/42||||||||||||||||||80,443|true|Allow|true|teams.microsoft.com|||||||||||||||||||||||||||||||||||
13|Skype|Skype for Business Online and Microsoft Teams|*.broadcast.skype.com|broadcast.skype.com|13.107.64.0/18|52.112.0.0/14|52.120.0.0/14|52.238.119.141/32|52.244.160.207/32|2603:1027::/48|2603:1037::/48|2603:1047::/48|2603:1057::/48|2620:1ec:6::/48|2620:1ec:40::/42||||||||||||||||||443|true|Allow|true||||||||||||||||||||||||||||||||||||
15|Skype|Skype for Business Online and Microsoft Teams|*.sfbassets.com||||||||||||||||||||||||||||||80,443|false|Default|true||||||||||||||||||||||||||||||||||||
16|Skype|Skype for Business Online and Microsoft Teams|*.keydelivery.mediaservices.windows.net|*.streaming.mediaservices.windows.net|||||||||||||||||||||||||||||443|false|Default|true|mlccdn.blob.core.windows.net|||||||||||||||||||||||||||||||||||
17|Skype|Skype for Business Online and Microsoft Teams|aka.ms||||||||||||||||||||||||||||||443|false|Default|true||||||||||||||||||||||||||||||||||||
18|Skype|Skype for Business Online and Microsoft Teams|*.users.storage.live.com||||||||||||||||||||||||||||||443|false|Default|false||Federation with Skype and public IM connectivity: Contact picture retrieval||||||||||||||||||||||||||||||||||
19|Skype|Skype for Business Online and Microsoft Teams|*.adl.windows.com||||||||||||||||||||||||||||||80,443|false|Default|false||Applies only to those who deploy the Conference Room Systems||||||||||||||||||||||||||||||||||
22|Skype|Skype for Business Online and Microsoft Teams|*.skypeforbusiness.com||13.107.64.0/18|52.112.0.0/14|52.120.0.0/14|52.238.119.141/32|52.244.160.207/32|2603:1027::/48|2603:1037::/48|2603:1047::/48|2603:1057::/48|2620:1ec:6::/48|2620:1ec:40::/42||||||||||||||||||443|true|Allow|false||Teams: Messaging interop with Skype for Business||||||||||||||||||||||||||||||||||
26|Skype|Skype for Business Online and Microsoft Teams|*.msedge.net|compass-ssl.microsoft.com|||||||||||||||||||||||||||||443|false|Default|true||||||||||||||||||||||||||||||||||||
27|Skype|Skype for Business Online and Microsoft Teams|*.mstea.ms|*.secure.skypeassets.com|||||||||||||||||||||||||||||443|false|Default|true|mlccdnprod.azureedge.net|||||||||||||||||||||||||||||||||||
31|SharePoint|SharePoint Online and OneDrive for Business|*.sharepoint.com||13.107.136.0/22|40.108.128.0/17|52.104.0.0/14|104.146.128.0/17|150.171.40.0/22|2603:1061:1300::/40|2620:1ec:8f8::/46|2620:1ec:908::/46|2a01:111:f402::/48||||||||||||||||||||80,443|true|Optimize|true||||||||||||||||||||||||||||||||||||
